office,won,votes
State House,dougherty-s,undefined}
State House,gallagher-p,undefined}
State House,neilson-e,undefined}
State House,isaacson-m,undefined}
State House,rader-j,undefined}
State House,hohenstein-j,undefined}
State House,marcell-k,undefined}
State House,dawkins-j,undefined}
State House,giral-j,undefined}
State House,kenyatta-m,undefined}
State House,waxman-b,undefined}
State House,mako-z,undefined}
State House,fiedler-e,undefined}
State House,young-r,undefined}
State House,harris-j,undefined}
State House,day-g,undefined}
State House,krajewski-r,undefined}
State House,probst-t,undefined}
State House,green-r,undefined}
State House,mcclinton-j,undefined}
State House,cephas-m,undefined}
State House,ecker-t,undefined}
State House,khan-t,undefined}
State House,harris-k,undefined}
State House,grove-s,undefined}
State House,burgos-d,undefined}
State House,parker-d,undefined}
State House,gleim-b,undefined}
State House,rabb-c,undefined}
State House,carroll-a,undefined}
State House,solomon-j,undefined}
State House,bellmon-a,undefined}
Auditor General,defoor-t,undefined}
Treasurer,garrity-s,undefined}
