office,won,votes
President,harris-k,undefined}
U.S. Senate,kaine-t,undefined}
U.S. House,wittman-r,undefined}
U.S. House,kiggans-j,undefined}
U.S. House,scott-r,undefined}
U.S. House,mcclellan-j,undefined}
U.S. House,mcguire-j,undefined}
U.S. House,cline-b,undefined}
U.S. House,vindman-e,undefined}
U.S. House,beyer-d,undefined}
U.S. House,griffith-m,undefined}
U.S. House,subramanyam-s,undefined}
U.S. House,connolly-g,undefined}
Question,for,undefined}
