office,won,votes
State House,griffin-f,undefined}
State House,stinson-p,undefined}
State House,cheokas-m,undefined}
State House,yearta-b,undefined}
State House,sampson-d,undefined}
State House,greene-g,undefined}
State House,hatchett-m,undefined}
State House,hagan-l,undefined}
State House,werkheiser-w,undefined}
State House,parrish-b,undefined}
State House,burns-j,undefined}
State House,franklin-l,undefined}
State House,hitchens-b,undefined}
State House,gilliard-c,undefined}
State House,westbrook-a,undefined}
State House,stephens-r,undefined}
State House,jackson-e,undefined}
State House,petrea-j,undefined}
State House,deloach-b,undefined}
State House,williams-a,undefined}
State House,osteen-a,undefined}
State House,ford-j,undefined}
State House,campbell-j,undefined}
State House,cannon-c,undefined}
State House,taylor-d,undefined}
State House,corbett-j,undefined}
State House,lahood-j,undefined}
State House,burchett-j,undefined}
State House,sharper-d,undefined}
State House,meeks-s,undefined}
State House,townsend-r,undefined}
State House,sainz-s,undefined}
Constitutional Amendment,yes,undefined}
Constitutional Amendment,yes,undefined}
Referendum,yes,undefined}
District Attorney,willis-f,undefined}
