office,won,votes
State Assembly,brabenec-k,undefined}
State Assembly,eachus-c,undefined}
State Assembly,kay-p,undefined}
State Assembly,maher-b,undefined}
State Assembly,tague-c,undefined}
State Assembly,shrestha-s,undefined}
State Assembly,jacobson-j,undefined}
State Assembly,beephan-a,undefined}
State Assembly,barrett-d,undefined}
State Assembly,bendett-s,undefined}
State Assembly,mcdonald-j,undefined}
State Assembly,romero-g,undefined}
State Assembly,steck-p,undefined}
State Assembly,santabarbara-a,undefined}
State Assembly,walsh-m,undefined}
State Assembly,woerner-c,undefined}
State Assembly,simpson-m,undefined}
State Assembly,jones-b,undefined}
State Assembly,gray-s,undefined}
State Assembly,blankenbush-k,undefined}
State Assembly,smullen-r,undefined}
State Assembly,buttenschon-m,undefined}
State Assembly,barclay-w,undefined}
State Assembly,angelino-j,undefined}
State Assembly,miller-b,undefined}
State Assembly,lupardo-d,undefined}
State Assembly,friend-c,undefined}
State Assembly,kelles-a,undefined}
State Assembly,lemondes-j,undefined}
State Assembly,stirpe-a,undefined}
State Assembly,hunter-p,undefined}
State Assembly,magnarelli-w,undefined}
State Assembly,manktelow-b,undefined}
State Assembly,gallahan-j,undefined}
State Assembly,palmesano-p,undefined}
State Assembly,bailey-a,undefined}
State Assembly,jensen-j,undefined}
State Assembly,lunsford-j,undefined}
State Assembly,clark-s,undefined}
State Assembly,meeks-d,undefined}
State Assembly,bronson-h,undefined}
State Assembly,hawley-s,undefined}
State Assembly,conrad-w,undefined}
State Assembly,peoples-c,undefined}
State Assembly,burke-p,undefined}
State Assembly,chludzinski-p,undefined}
State Assembly,bologna-p,undefined}
State Assembly,morinello-a,undefined}
State Assembly,mcmahon-k,undefined}
State Assembly,dipietro-d,undefined}
State Assembly,sempolinski-j,undefined}
State Assembly,rivera-j,undefined}
State Assembly,molitor-a,undefined}
Constitutional Amendment,yes,undefined}
Charter Amendment,yes,undefined}
Charter Amendment,yes,undefined}
Charter Amendment,yes,undefined}
Charter Amendment,yes,undefined}
Charter Amendment,,undefined}
Supreme Court,kern-c,lebovits-g,undefined}
Supreme Court,perlmutter-a,oneale-i,lewis-l,hudson-s,alleyne-k,robles-c,sunshine-j,undefined}
Supreme Court,romeo-s,undefined}
Supreme Court,nowak-h,nugentpanepinto-c,chimes-d,norris-m,undefined}
Supreme Court,duffy-c,broge-b,mcgovern-k,tanguay-r,scattareticonaber-m,undefined}
Supreme Court,matthews-j,roth-g,panico-d,murphy-t,graf-a,hennings-p,hensley-p,crecca-a,undefined}
Supreme Court,schiff-a,marshall-d,munoz-s,maldonadocruz-l,ogle-a,katsanos-j,lanzetta-c,undefined}
Supreme Court,parkerraso-m,undefined}
