office,won,votes
President,harris-k,undefined}
U.S. Senate,kim-a,undefined}
U.S. House,norcross-d,undefined}
U.S. House,van_drew-j,undefined}
U.S. House,conaway-h,undefined}
U.S. House,smith-c,undefined}
U.S. House,gottheimer-j,undefined}
U.S. House,pallone-f,undefined}
U.S. House,kean_jr-t,undefined}
U.S. House,menendez-r,undefined}
U.S. House,pou-n,undefined}
U.S. House,mciver-l,undefined}
U.S. House,sherrill-m,undefined}
U.S. House,watson_coleman-b,undefined}
